,sentences,sentences
0, ???? ???? ??? ?????? ???? ????? ???? ?? ???? ??? ?? ?????? ?????? ???? ??.,Mor?e? sermaren hud?in? kur?i gidra? Mini do? mit? gha?r?i ho?? thir bae tahe?dar?eak?a.
1, ???????? ????????? ?????? ???? ?????? ????? ?? ???? ???? ???? ??? ????? ?????????., Noa dha?rtirey janamen tayom ro?r? cecet? do? e?ke?n mit? serma dinge lagaoade tahe?kana.
2,", ????? ?? ???? ?????? ?? ??????? ???? ?? ??????? ????????? ???? ??? ??.", Ebhen akan ta?hen dha?bic? Mini do? mit? gha?r?i ho?? o?kte bae n?elgo?t?kak?a.
3, ????? ?? ???? ???? ??? ????? ????? ??? ???? ?????? ????., Ona tege ja?nic? ac? go?go? do? botor oco kate thirkaea.
4,", ?????? ??? ???? ???? ??.", Menkhan in? do? ba?n? oco dar?ewaea.
5," ???? ??? ?????? ?????? ???? ?????????? ?????? ??? ??,.", Miniye thiro?k? sa?ote uni do? met?ha?re et?ak? rup set?eraya.
6,??? ?????? ???? ???????? ???? ??? ??, Ona rup n?elte in? do? uni saman?re ba?n? tahe?dar?eak?a.
7, ?????? ???? ????? ????? ????????? ???? ??????? ???? ???., Ona ia?te Mini sa?o in?ak? galmarao do? a?d?i ra?ska? selet? laha idik?a.
8,"
 ?????????? ???? ?????? ?????? ????????? ??? ??????? ??? ???? ???? ??????? ????? ?????? ???, ????, ???????? ??????? ????? ????? ?????, ?? ?????? ???? ??."," Setak? ber kisa?puthi renak? gel eyae lekha o?lo?k? la?git? kolomin? sap?akada; onkan oktere Mini hec? kateye la?i keda Baba ram doyal do? ka??hu do? ka?uwa?ye meta koa; uni do? cet? ho?? bae bad?aea, ban?? 
Noa dha?rtire mimit? bhasa renak? et?ak? lekan mimit? go?t?e?n katha menak?a, noa katha uni la?yae laharege uni do? mo?r?e? go?t?en kathae eho?p? keda, ?e?lme baba, Bholaye la?yada ban?ma serma kho?n ha?ti sund?te dak? ko gid?ia, ar ona dak?gebon metak? kana serma dak?."
9," ?? ?

??? ???????? ????? ????????? ???????? ?????? ???????? ????? ???????? ????? ??????? ?? ???????? ???????? ????? ???."," Baba, Bhola do ho?r? landae lekhan kathae la?i dar?eak?a."
10," ???? ????, ???? ????? ????? ???? ????? ????? ?? ????, ??? ?????? ???."," Ina? katha la?iket? sa?ote in?ak? t?ebil ar?ere ac?ak? ti jan?ga sap?kate a?gd?um ba?gd?um enec?e dhura?uena, Undo gel eyae lekharen Pratap Sin?ho do? sona reak? mala sap?kate n?ut? n?inda?re jehalkhana reak? usul dua?r kho?n latar uta?r na?i darha dak?re don kate n?ur hatar? akanae."
11," ?? ??, ???? ?? ???????? ???? ????.", Dahar ar?ere or?ak?tin?.
12," ????? ???, ?????? ???."," Mini ac?ak? a?gd?um ba?gd?um enec? ba?gi kate in?ak? janala ar?ere hec?enae ar acka a?d?i a?t?te hohokedae, kabuliwala- e kabuliwala."
13,"
? ???????? ???? ??????? ???? ????????? ??????? ?? ?????? ???? ???????? ?????? ????, ????, ?? ????? ?? ???."," Ho?r?more hende jhalan? jhulun? an?grop, bo?ho?k?re da?hr?i, tarenre t?ha?ila?k?, tire pea ponea a?n?gur bele reak? baksatae; onkan mit?t?an? usul kabuliwala har?am do? d?aharte ba?i ba?iteye tar?am idiyeda."
14,"

??? ??? ?????? ????????; ???? ??????, ????, ??? ????? ????? ???? ?? ?? ??.",Uni kabuliwala n?elte miniak? monere cet? ra?ska? hoyena ona do la?la?i muskilgea.
15, ???? ??? ??? ???., Miniak? ho?ho? an?jom te mone kida?in? ban?ma uni Kabuliwalaye hec?len khan kisa?puthi renak? gel eyae lekha ho?? ja?nic? ban? cabak?a.
16,"

?? ??? ???? ??????? ??????? ???????? ???? ?????? ???? ?????? ????? ??? ????? ??? ??? ????? ???????? ???????? ???????? ???????? ?????? ????? ?????? ???.", Kabuliwala do miniak? ho?ho? ar?an? an?jom kate ale o?r?ak? sec?ge hijuk? kanae.
17, ???? ?????? ????????? ?????????? ??? ???????????? ????? ??????? ?????? ????????? ???? ??????? ???? ?????????? ???? ??? ??? ????? ?????????., Mini uniak? jhalan? jhulun? tar?am hijuk? n?elte or?ak? bhitirirey okoyena.
18,"

???? ?? ???? ????.", Mini uniak? jhalan? jhulun? tar?am hijuk? n?elte or?ak? bhitrireye okoyena.
19," ???? ???? ??????? ???????? ???? ??????? ??????? ???? ??????? ??? ??? ?????? ?????? ?????? ?????, ????????????, ? ????????????.", Mini sa?o n?epel ban? hoelena.
20,"

????? ???? ????? ???, ?????? ??????, ???? ?????, ???? ???????-??? ?????? ?????, ?? ????? ???????????? ???????? ???? ?? ????? ??????????????? ??????? ???? ??????????? ????? ??????? ??? ??? ????, ?????? ?????????? ???????? ????? ?????? ???.", Pasen miniak? do? mit?t?en er?e katha rege sa?ri mente pa?tya?u tahe?kantaea.
21," ??? ???????, ???? ???? ????? ???? ??? ?????? ??????? ????, ???? ?????? ???????? ?? ??? ???? ??."," Uniak? pa?tia?u lekate do? kathae uni har?amak? tha?ila?k? bhitrire barpe got?en manwa hopon jiwet?te menak?koa, Kabuliwala do? in? t?hen landa landate hec?tora johara?n? sa?ote in? sorrey ten?goyena."
22,"
   ??????, ????? ??????? ????? ???????????? ??????? ??? ?????? ??? ?????? ?????? ???? ????? ????? ???? ?? ???????????? ????????? ???? ???, ????? ?? ????? ?????? ?????? ??? ??.", Hudis kida?n? Pratap Sin?howak? bha?g ge a?d?i ba?r?ic?gea.
23," ????? ???? ????? ???? ???? ????????? ??? ??? ??, ?? ??????? ???? ?????? ????? ????? ??? ????-????? ????? ?????????? ?????? ????? ????.", Enho?? uni Kabuliwala or?ak?re ho?ho? a?gukate jahanak? ban? hatao te?ho ganok?kana.
24,"

? ???? ???????????? ?????? ??????? ????? ????? ?????? ???????????? ???????, ????? ?????????? ??? ??????????? ?????? ??????? ????????? ????? ??????? ??? ??????? ?????? ????? ??? ???? ???? ?? ?????? ???? ??? ??.", Onate mit? bar got?en hak?taotenak? hak?tao hoyena.
25,"

???? ???? ???.", Ina? tayom emanteak? kathako eho?p?ena.
26, ????? ?? ?????? ??? ?????? ?????.," Abdan Rahman do? Rus, In?raj, Phrans arho?? a?d?i got?an? disom renak? sima Rekha ban?cao dohoe la?git?te ka?hni la?ikedae."
27," ????? ?????, ???, ????? ????????? ????? ???????????????? ???????? ???? ????? ?????."," La?i muca?t? katey kulikedin?a, Ba?bu amren hopon era doe okayena? Miniak? botor cabaetae la?git? or?ak? bhitri khon unin? hoho a?gukedea."
28,"

?????? ?????? ?????? ???? ?? ???????? ????, ????, ????? ????? ?????? ???.", Mini do? in?ak? jan?gare ha?r?up? kate Kabuliwalawak? met?ha? sec? ar tha?ilak? sec? koyok? katey ten?go akana.
29,"

??? ????? ????? ??? ???????? ????? ?????????? ??????? ???????? ???? ???????? ??????-?? ???? ?? ???????? ??????? ??? ??? ????? ???? ???????? ?????????? ?????? ?????????? ????."," Ona o?kte Kabuliwala do? ac?ak? tha?ila?k? khon barpe got?en kismis ar badam od?ok kate Miniye emaekan tahe?kana, menkhan Mini do? bae hataoleda."
30," ?????? ????? ???? ???? ???????? ?????? ????? ?????? ?????? ???? ???, ?? ??????? ??? ??, ??????? ???????? ???? ???? ?????? ???? ?????? ????? ????.", Uni do? botorte artet? a?t?te in?ak? jan?garey ha?r?up?ena.
31, ????? ???????? ???? ???? ???., Kabuliwala sa?o Miniak? pa?hil n?epel do? non?ka lekage paromena.
32,"

??????? ??? ????? ?????????? ????????? ????? ???? ????? ????? ???? ????, ???? ???????? ??????? ??????? ??????? ??? ?????? ?????? ??? ?????? ??????? ??? ???????????? ????? ????? ?????? ?????????? ???????? ??? ????? ????? ???????????? ????? ?????? ??-????? ??????? ?????? ???????.", Ina? tayom aema sin? n?inda? paromena.
